module_id,catalog_id,status,ots_class,vendor,part_number,description,quantity,unit,order_url,evidence_url,module_use,catalog_notes,ots_rationale
BN-M04,TNUTZ-EX1010-18,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 18 inches",8,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 18-inch cut; no machining for bracket prototype,"Select 18-inch length, no machining; 8 per module.","orderable length from the product dropdown (1-96 in, 1/16 in steps); no saw, no cut fee shown"
BN-M04,TNUTZ-EX1010-22,ORDERABLE,OTS_STOCK,TNUTZ,EX-1010,"1 x 1 inch smooth 10-Series aluminum extrusion, cut to 22 inches",4,pc,https://www.tnutz.com/product/ex-1010/,https://www.tnutz.com/product/ex-1010/,Exact 22-inch cut; no machining for bracket prototype,"Select 22-inch length, no machining; 4 per module.",same dropdown; 22 in is a catalogue selection
BN-M04,8020-4132,ENGINEERING_HOLD,OTS_STOCK,80/20,4132,10-Series black gusseted inside corner bracket,24,pc,https://8020.net/4132.html,https://8020.net/4132.html,Prototype quantity only; joint release requires dynamic test,Prototype joint candidate; 24 per frame. Dynamic-load test required.,"catalogue bracket, buy as-is"
BN-M04,8020-3393,ENGINEERING_HOLD,OTS_STOCK,80/20,3393,1/4-20 x 0.500 inch bolt and slide-in economy T-nut assembly for bracket 4132,48,pc,https://8020.net/3393.html,https://8020.net/3393.html,Two compatible assemblies per 4132 bracket,Two assemblies per 4132 bracket; 48 per frame.,"catalogue fastener assembly, buy as-is"
BN-M04,TNUTZ-HAN015AL,ORDERABLE_CHECK_STOCK,OTS_STOCK,TNUTZ,HAN-015-AL,Black aluminum carry handle with 10-Series mounting hardware,2,pc,https://www.tnutz.com/product/han-015-al/,https://www.tnutz.com/product/han-015-al/,Carry handles are not authorized for a loaded lift until tested,Two per module; obtain current load rating before lifting a loaded module.,catalogue handle with its mounting hardware
BN-M04,TNUTZ-GAS010A,ORDERABLE,OTS_STOCK,TNUTZ,GAS-010-A,10-Series panel gasket for approximately 3/16-inch panels,20,ft,https://www.tnutz.com/product/gas-010-a/,https://www.tnutz.com/product/gas-010-a/,Allowance including trim; replace with drawing-derived length,"Prototype allowance 20 ft per module, trim after panel drawings.","sold by the foot; trimmed by hand, no machining"
BN-M04,TNUTZ-BUM010TS,ORDERABLE,OTS_STOCK,TNUTZ,BUM-010-TS,10-Series anti-skid rubber tread strip,8,ft,https://www.tnutz.com/product/bum-010-ts/,https://www.tnutz.com/product/bum-010-ts/,Allowance for lower perimeter,Prototype allowance 8 ft per module; verify vehicle-floor compatibility.,"sold by the foot; trimmed by hand, no machining"
BN-M04,TAP-HYPACT-PANEL,ORDERABLE_CUSTOM_CUT,CUSTOM_FLAT,TAP Plastics,King Hy-Pact custom cut,"Black UV-stabilized polymer sheet cut to size for skins, trays, dividers, and non-hot work surfaces",1,cut-panel lot,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/hypact_vhmw_polyethylene/527,Order only from released DXF/panel drawings,Upload final panel dimensions and holes only after tolerance drawings; thickness is module-specific.,flat sheet cut to size from a released DXF; satisfies the standing flat-plate rule
BN-M04,DOMETIC-VA8005,ORDERABLE,OTS_STOCK,Dometic,VA8005 / 9102303252,Square stainless sink with glass cover and AC 540 siphon,1,pc,https://www.dometic.com/en-us/product/dometic-va8000-series-square-sink-with-1-hole-faucet-glass-cover-9102303252?v=9102303252,https://www.dometic.com/en-us/product/dometic-va8000-series-square-sink-with-1-hole-faucet-glass-cover-9102303252?v=9102303252,Sink and siphon,Direct page showed ready-to-ship status; faucet is sold separately.,catalogue sink and siphon
BN-M04,SHURFLO-4008,DEALER_ORDER_ENGINEERING_HOLD,OTS_STOCK,Pentair Shurflo,4008-101-E65,12V 3-GPM Revolution fresh-water demand pump,1,pc,https://www.pentair.com/en-us/flow/shurflo/shurflo-products/shurflo-rv-applications/water-delivery-pumps/shurflo-revolution-4008-series-by-pass-pump/sku/4008-101-e65.html,https://www.pentair.com/en-us/flow/shurflo/shurflo-products/shurflo-rv-applications/water-delivery-pumps/shurflo-revolution-4008-series-by-pass-pump/sku/4008-101-e65.html,Demand pump; install accessories remain schematic-dependent,"Requires flexible high-pressure hose, 10-A fuse, 12V wiring, connectors, and pressure-compatible plumbing selected after schematic review.",catalogue pump
BN-M04,RELIANCE-AQUATAINER-4G,DEALER_ORDER,OTS_STOCK,Reliance Outdoors,9405-03R,4-gallon Aqua-Tainer for removable grey-water prototype,1,pc,https://relianceoutdoors.com/collections/aqua-storage/products/aqua-tainer-4g-15l,https://relianceoutdoors.com/collections/aqua-storage/products/aqua-tainer-4g-15l,Dedicated and permanently labeled grey-water container,Manufacturer no longer sells direct; use its dealer locator. Permanently label grey-water use and never return it to potable service.,consumer container bought whole
BN-M04,NRS-HD-STRAP,ORDERABLE_ENGINEERING_HOLD,OTS_STOCK,NRS,1-inch HD Tie-Down Strap,UV-protected one-inch polypropylene cam strap; select field-fit length,2,pc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,https://www.nrs.com/nrs-1-hd-tie-down-straps/p4yc,Grey tank restraint,"Published 500-lb WLL, but module anchor/load path still requires engineering and dynamic testing.",catalogue cam strap
